fields,id,source
"{'id': ['RF00487'], 'description': ['Connexin-43 internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['14'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00487,rfam
"{'id': ['RF02535'], 'description': ['ODC internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['13'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF02535,rfam
"{'id': ['RF00226'], 'description': ['n-myc internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['6'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00226,rfam
"{'id': ['RF00222'], 'description': ['Bag-1 internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['15'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00222,rfam
"{'id': ['RF00223'], 'description': ['bip internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['9'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00223,rfam
"{'id': ['RF00216'], 'description': ['c-myc internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['23'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00216,rfam
"{'id': ['RF00484'], 'description': ['Connexin-32 internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['6'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00484,rfam
"{'id': ['RF00547'], 'description': ['TrkB IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['16'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00547,rfam
"{'id': ['RF00447'], 'description': ['Voltage-gated potassium-channel Kv1.4 IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['6'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00447,rfam
"{'id': ['RF00387'], 'description': ['FGF-1 internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['6'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00387,rfam
"{'id': ['RF00549'], 'description': ['c-sis internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['10'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00549,rfam
"{'id': ['RF00483'], 'description': ['Insulin-like growth factor II IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['9'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00483,rfam
"{'id': ['RF00457'], 'description': ['Mnt IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['21'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00457,rfam
"{'id': ['RF02531'], 'description': ['Nrf2 internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['20'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF02531,rfam
"{'id': ['RF00449'], 'description': ['HIF-1 alpha IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['17'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00449,rfam
"{'id': ['RF00261'], 'description': ['L-myc internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['11'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00261,rfam
"{'id': ['RF00461'], 'description': ['Vascular endothelial growth factor (VEGF) IRES A'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['7'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00461,rfam
"{'id': ['RF00224'], 'description': ['FGF-2 internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['6'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00224,rfam
"{'id': ['RF00495'], 'description': ['Heat shock protein 70 (Hsp70) internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['14'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF00495,rfam
"{'id': ['RF02664'], 'description': ['Cyp24a1 internal ribosome entry site (IRES)'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Family'], 'rfamseq_acc': [], 'rfamseq_acc_description': [], 'scientific_name': [], 'num_seed': ['2'], 'seq_start': [], 'seq_end': [], 'ENA': [], 'RFAM': []}",RF02664,rfam
